id,gender,age,educstat,educstatgroup,birthreg,growup,birthpatreg,educstatpat,edustatpatgroup,educstatmat,educstatmatgroup,workstat,retireddummy,hhsize,hhsizegroup,lifestyle,voteintparty2,voteintparty,turnout,voteintakp,voteintchp,voteintmhp,voteintbdp,voteintRL,voteint4major,voteint4major2,affiliat,affliatngo,affiliatparty,affiliatchamb,minrights,warenem,usearm,politban,instbest,tradlifeforce,freedomseparat,patrcitizen,lifestylecompare,interethmarriage,minschool,turkeyleader,badhabits,privresp,alcoholsalat,obstructtransport,leaderjeernew,leaderjeer,preg,intermarry,polapol,libcons,leftright,authanti,secularanti,outin,pacmil,egalelit,nationalist,globloc,europas,headcover,ethnicity,ethnicdummy,religion,religdummy,religiosity,hhincome,loghhincome,region,resarea,resarearural,incomebrac,gini2011pers,gini2012pers,gini2013pers,gini2014pers,gini2011hh,gini2012hh,gini2013hh,gini2014hh,sedi,factor1,factor2,factor3,factor4,socialorder,useofforce,p1,p2,p3,p4,p5
16,Male,28,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Illiterate,Under high school,Illiterate,Under high school,Worker,Working,7,6-8 persons,Religious conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Wrong,Wrong,Absolutely right,Neither right nor wrong,Absolutely right,Neither right nor wrong,Right,Right,Right,Right,Right,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me well,Authoritarian - Describes me well,Secular - Describes me well,Outward looking - Describes me very well,Pacifist - Describes me very well,Egalitarian - Describes me very well,Nationalist - Describes me very well,Local - Describes me very well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1500,7.3132205,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.86806607,.49161929,-.12408585,.99054652,48.110126,71.580833,.48144254,.074873656,.38544422,.004440513,.053799082
17,Male,44,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Illiterate,Under high school,Small retailer,Working,5,3-5 persons,Traditional conservative,MHP,MHP,Voter,No,No,Yes,No,Center-Right,MHP,MHP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely right,Absolutely right,Absolutely right,Absolutely right,Wrong,Absolutely right,Absolutely right,Right,Neither right nor wrong,Neither right nor wrong,Neither right nor wrong,Absolutely right,Neither right nor wrong,Absolutely right,Neither right nor wrong,Right,Right,Right,Neither right nor wrong,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me very well,Authoritarian - Describes me very well,Secular - Describes me well,Outward looking - Describes me well,Pacifist - Describes me very well,Egalitarian - Describes me very well,Nationalist - Describes me very well,Local - Describes me very well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1250,7.130899,Central Anatolia,Rural,Rural,New middle,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,2.2137775,.25303727,-.15607393,2.3040102,47.520279,92.89138,.44591191,.054392703,.4684231,.0012634349,.030008841
18,Male,35,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Illiterate,Under high school,Worker,Working,4,3-5 persons,Traditional conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely right,Absolutely right,Absolutely right,Absolutely right,Neither right nor wrong,Absolutely right,Absolutely right,Absolutely right,Neither right nor wrong,Neither right nor wrong,Neither right nor wrong,Absolutely right,Neither right nor wrong,Absolutely right,Neither right nor wrong,Right,Right,Right,Neither right nor wrong,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me very well,Authoritarian - Describes me well,Secular - Describes me well,No opinion,Pacifist - Describes me very well,Egalitarian - Describes me very well,Nationalist - Describes me very well,Local - Describes me very well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,847,6.7417006,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,2.2137775,.25303727,.13826521,2.2344902,52.947781,91.763435,.50711691,.03433124,.43216544,.0015389463,.024847444
19,Male,70,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Illiterate,Under high school,Illiterate,Under high school,Retired,Retired,1,1-2 persons,Religious conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Neither right nor wrong,Right,Right,Right,Right,Neither right nor wrong,Neither right nor wrong,Absolutely right,Right,Absolutely right,Neither right nor wrong,Right,Neither Right Nor Wrong,Neither right nor wrong,Neither right nor wrong,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,No opinion,Authoritarian - Describes me well,Secular - Describes me well,Outward looking - Describes me well,Pacifist - Describes me very well,Egalitarian - Describes me very well,Nationalist - Describes me very well,Local - Describes me very well,Asian - Describes me very well,Bachelor man,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1000,6.9077554,Central Anatolia,Rural,Rural,Upper class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.74191183,.92227906,.96120262,.70800382,68.122429,66.996666,.77880478,.067217842,.10108029,.0052230507,.047674008
20,Male,37,,,Central ANatolia,Rural,Central ANatolia,Literate w/out degree,Under high school,Illiterate,Under high school,"Unemployed, seeking job",Working,5,3-5 persons,Traditional conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely right,Absolutely right,Absolutely right,Right,Absolutely Wrong,Right,Right,Neither right nor wrong,Wrong,Wrong,Wrong,Absolutely right,Neither right nor wrong,Absolutely right,Neither right nor wrong,Right,Right,Right,Right,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me very well,Authoritarian - Describes me well,Secular - Describes me well,Outward looking - Describes me well,Pacifist - Describes me well,Egalitarian - Describes me well,Nationalist - Describes me very well,Local - Describes me very well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,450,6.1092477,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,1.7096556,.30745292,-.6335696,1.9267453,38.715443,86.77037,,,,,
21,Female,38,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Illiterate,Under high school,Housewife,Working,5,3-5 persons,Traditional conservative,,Non-voter,Non-voter,No,No,No,No,Non-voter,Non-voter,,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Wrong,Neither right nor wrong,Right,Right,Neither right nor wrong,Wrong,Wrong,Absolutely right,Right,Right,Neither right nor wrong,Neither right nor wrong,Right,Right,Neither right nor wrong,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me well,Authoritarian - Describes me well,Secular - Describes me well,No opinion,Pacifist - Describes me very well,Egalitarian - Describes me well,Nationalist - Describes me well,Local - Describes me well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,275,5.6167712,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.48177257,.63312429,.20001514,.58606559,54.086426,65.018257,.70023948,.079912975,.12233338,.019044338,.078469798
22,Female,42,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Illiterate,Under high school,Housewife,Working,5,3-5 persons,Traditional conservative,Undecided,Undecided,Voter,No,No,No,No,Undecided,,Undecided,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Wrong,Neither right nor wrong,Right,Right,Neither right nor wrong,Wrong,Wrong,Absolutely right,Right,Right,Neither right nor wrong,Neither right nor wrong,Right,Right,Neither right nor wrong,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me well,Authoritarian - Describes me well,Secular - Describes me well,No opinion,Pacifist - Describes me very well,Egalitarian - Describes me well,Nationalist - Describes me well,Local - Describes me well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,847,6.7417006,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.48177257,.63312429,.20001514,.58606559,54.086426,65.018257,.6389665,.11569957,.14111073,.0089033879,.09531983
23,Male,54,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Illiterate,Under high school,Retired,Retired,2,1-2 persons,Traditional conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely right,Absolutely right,Neither right nor wrong,Right,Wrong,Neither right nor wrong,Absolutely right,Absolutely right,Absolutely Wrong,Absolutely Wrong,Absolutely Wrong,Absolutely right,Absolutely right,Absolutely right,Right,Neither right nor wrong,Absolutely Right,Absolutely right,Wrong,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me well,Authoritarian - Describes me well,Secular - Describes me well,Outward looking - Describes me well,Pacifist - Describes me well,Egalitarian - Describes me very well,Nationalist - Describes me very well,Local - Describes me well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1000,6.9077554,Central Anatolia,Rural,Rural,Lower middle,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.52047229,1.3839135,.19201694,.78834069,53.938942,68.30011,.62968785,.09709803,.20474422,.0071019842,.061367929
24,Female,66,Literate w/out degree,Under high school,Western Marmara,Rural,Western Marmara,Illiterate,Under high school,Illiterate,Under high school,Housewife,Working,6,6-8 persons,Religious conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely Wrong,Absolutely right,Right,Right,Absolutely Wrong,Right,Right,Right,Absolutely Wrong,Wrong,Neither right nor wrong,Absolutely right,Right,Right,Right,Wrong,Right,Right,Right,Right,Political - Describes me well,Liberal - Describes me well,Right-winger - Describes me well,No opinion,Secular - Describes me very well,No opinion,Militarist - Describes me well,Elitist - Describes me very well,No opinion,No opinion,Asian - Describes me well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1200,7.0900769,Western Marmara,Rural,Rural,Lower class,.36500001,.35600001,.33700001,.333,.37799999,.38,.359,.37,2.8722999,.1945405,.78347641,-.53884941,.53940463,40.462044,64.2612,.43129796,.30370298,.12029572,.0091821551,.13552117
25,Male,64,Primary school graduate,Under high school,Western Marmara,Rural,Western Marmara,Literate w/out degree,Under high school,Illiterate,Under high school,Retired,Retired,5,3-5 persons,Modern,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Affiliated,Not Affiliated,Affiliated,Not Affiliated,Right,Right,Wrong,Right,Right,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Right,Wrong,Right,Wrong,Wrong,Right,Right,,,,,,,,,,,,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Pious,3500,8.1605186,Western Marmara,Rural,Rural,Lower middle,.36500001,.35600001,.33700001,.333,.37799999,.38,.359,.37,2.8722999,-.086646125,.43846124,1.0271418,-.25678235,69.338326,51.343307,.81052434,.054230813,.057979774,.0095700976,.067694969
26,Female,54,Primary school graduate,Under high school,Western Marmara,Rural,Western Marmara,Primary school graduate,Under high school,Primary school graduate,Under high school,Housewife,Working,5,3-5 persons,Traditional conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Neither right nor wrong,Neither right nor wrong,Wrong,Right,Right,Right,Wrong,Absolutely right,Neither right nor wrong,Right,Absolutely Wrong,Wrong,Wrong,Wrong,Wrong,Wrong,,,,,,,,,,,,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Pious,3000,8.0063677,Western Marmara,Rural,Rural,New middle,.36500001,.35600001,.33700001,.333,.37799999,.38,.359,.37,2.8722999,.77368975,-.86976463,-.29296041,.67921686,44.996143,66.52961,.57090777,.14202848,.15803701,.0030006964,.12602603
27,Male,56,High school graduate,High school,Western Marmara,Rural,Western Marmara,Illiterate,Under high school,Illiterate,Under high school,Retired,Retired,2,1-2 persons,,Undecided,Undecided,Voter,No,No,No,No,Undecided,,Undecided,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Right,Wrong,Wrong,Political - Describes me very well,Liberal - Describes me very well,Right-winger - Describes me very well,Anti-authoritarian - Describes me very well,Secular - Describes me very well,Outward looking - Describes me very well,Pacifist - Describes me very well,Egalitarian - Describes me very well,Nationalist - Describes me very well,Universal - Describes me well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1100,7.0030656,Western Marmara,Rural,Rural,Lower middle,.36500001,.35600001,.33700001,.333,.37799999,.38,.359,.37,2.8722999,.47342575,.35987586,-.21273264,.60426003,46.475513,65.313454,.41406441,.23483303,.25791165,.0072661545,.08592476
28,Male,70,Primary school graduate,Under high school,Western Marmara,Rural,Western Marmara,Primary school graduate,Under high school,Primary school graduate,Under high school,Retired,Retired,2,1-2 persons,Religious conservative,,,,,,,,,,,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Wrong,Right,Right,Right,Neither right nor wrong,Neither right nor wrong,Right,Right,Right,Neither right nor wrong,Neither right nor wrong,Right,Right,Right,Right,Right,Neither right nor wrong,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Pious,1500,7.3132205,Western Marmara,Rural,Rural,New middle,.36500001,.35600001,.33700001,.333,.37799999,.38,.359,.37,2.8722999,.12830809,1.1628538,1.2326099,.07028199,73.127075,56.64983,.86035269,.034131601,.054542452,.0041364427,.046836816
29,Female,47,Illiterate,Under high school,Western Marmara,Rural,Southeastern Anatolia,Illiterate,Under high school,Illiterate,Under high school,Housewife,Working,7,6-8 persons,Traditional conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Pacifist - Describes me well,Egalitarian - Describes me very well,No opinion,No opinion,No opinion,Head scarf,Zaza,Non-Kurdish,Sunni Muslim,Others,Religious,600,6.3969297,Southeastern Anatolia,Rural,Rural,Lower class,.396,.375,.38,.37900001,.37799999,.34799999,.36199999,.361,.1532,.62524819,1.3479894,1.548949,.5435912,78.960251,64.329124,.86161613,.033257354,.054117911,.0053428221,.045665771
